timestamp,What is your name? (Full name not necessary),Where are you from?,Which generated recipe is better for the given conditions? q_num 1,Which generated recipe is better for the given conditions? q_num 2,Which generated recipe is better for the given conditions? q_num 3,Which generated recipe is better for the given conditions? q_num 4,Which generated recipe is better for the given conditions? q_num 5,Which generated recipe is better for the given conditions? q_num 6,Which generated recipe is better for the given conditions? q_num 7,Which generated recipe is better for the given conditions? q_num 8,Which generated recipe is better for the given conditions? q_num 9,Which generated recipe is better for the given conditions? q_num 10,Which generated recipe is better for the given conditions? q_num 11,Which generated recipe is better for the given conditions? q_num 12,Which generated recipe is better for the given conditions? q_num 13,Which generated recipe is better for the given conditions? q_num 14,Which generated recipe is better for the given conditions? q_num 15,Which generated recipe is better for the given conditions? q_num 16,Which generated recipe is better for the given conditions? q_num 17,Which generated recipe is better for the given conditions? q_num 18,Which generated recipe is better for the given conditions? q_num 19,Which generated recipe is better for the given conditions? q_num 20,Which generated recipe is better for the given conditions? q_num 21,Which generated recipe is better for the given conditions? q_num 22,Which generated recipe is better for the given conditions? q_num 23,Which generated recipe is better for the given conditions? q_num 24,Which generated recipe is better for the given conditions? q_num 25,Which generated recipe is better for the given conditions? q_num 26,Which generated recipe is better for the given conditions? q_num 27,Which generated recipe is better for the given conditions? q_num 28,Which generated recipe is better for the given conditions? q_num 29,Which generated recipe is better for the given conditions? q_num 30,Which generated recipe is better for the given conditions? q_num 31,Which generated recipe is better for the given conditions? q_num 32,Which generated recipe is better for the given conditions? q_num 33,Which generated recipe is better for the given conditions? q_num 34,Which generated recipe is better for the given conditions? q_num 35,Which generated recipe is better for the given conditions? q_num 36,Which generated recipe is better for the given conditions? q_num 37,Which generated recipe is better for the given conditions? q_num 38,Which generated recipe is better for the given conditions? q_num 39,Which generated recipe is better for the given conditions? q_num 40,Which generated recipe is better for the given conditions? q_num 41,Which generated recipe is better for the given conditions? q_num 42,Which generated recipe is better for the given conditions? q_num 43,Which generated recipe is better for the given conditions? q_num 44,Which generated recipe is better for the given conditions? q_num 45,Which generated recipe is better for the given conditions? q_num 46,Which generated recipe is better for the given conditions? q_num 47,Which generated recipe is better for the given conditions? q_num 48,Which generated recipe is better for the given conditions? q_num 49,Which generated recipe is better for the given conditions? q_num 50,Which generated recipe is better for the given conditions? q_num 51,Which generated recipe is better for the given conditions? q_num 52,Which generated recipe is better for the given conditions? q_num 53,Which generated recipe is better for the given conditions? q_num 54,Which generated recipe is better for the given conditions? q_num 55
2025. 1. 31 10:11:00,A,Kazakhstan,2,2,1,1,2,1,1,1,2,2,2,1,1,2,2,1,1,2,1,1,1,1,2,2,1,1,1,1,2,2,2,2,1,2,1,2,1,1,2,1,1,2,1,2,1,2,1,2,1,1,2,2,2,1,1
2025. 2. 1 7:32:37,B,Russia,1,2,2,1,1,1,2,2,1,1,1,1,2,2,1,2,1,2,2,2,2,2,1,1,2,1,1,1,2,1,2,1,1,2,1,1,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,1
2025. 2. 1 22:59:19,D,South Korea,1,2,2,1,1,1,2,1,1,2,2,2,1,2,1,1,1,2,1,1,2,1,2,2,2,2,2,2,1,1,2,2,1,1,1,1,1,1,1,2,1,2,1,2,1,2,2,1,1,1,1,1,2,1,1
2025. 2. 3 2:58:10,G,Germany,1,2,2,1,1,2,2,2,1,1,1,1,2,2,2,1,1,2,2,1,1,2,2,2,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2,1,2,1,1,2,1,2,1,2,1,1,2,2,1
2025. 2. 3 4:10:13,F,Uganda ,2,2,2,1,2,1,1,2,1,2,1,2,2,2,1,2,1,1,2,1,1,2,2,2,1,2,2,2,2,2,2,2,1,1,1,1,2,1,2,1,2,2,2,1,1,1,2,2,1,1,2,2,2,1,1
2025. 2. 3 6:27:03,C,Myanmar,1,2,2,1,2,2,2,1,2,1,1,2,2,2,2,1,2,2,1,1,2,1,1,2,1,2,1,2,1,2,2,1,2,1,2,2,1,1,2,2,2,1,1,1,1,1,2,1,1,1,1,1,2,1,2
2025. 2. 5 2:37:43,H,USA,2,1,2,2,1,1,1,2,2,2,1,1,2,1,2,1,1,1,2,1,2,1,1,1,1,1,1,2,2,1,1,2,1,1,2,1,1,1,1,2,1,2,2,1,2,2,2,1,1,2,1,2,1,2,1
2025. 2. 5 4:14:30,E,India,1,2,2,1,2,2,1,2,1,2,1,1,2,1,2,1,2,2,1,1,2,1,2,1,2,2,1,2,1,2,1,1,2,1,1,2,1,2,2,1,1,2,1,2,1,2,1,2,2,1,2,1,2,1,2
2025. 2. 5 5:06:04,K,South Korea,2,2,2,1,2,1,1,2,2,2,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,2,2,2,1,2,1,2,1,1,1,1,2
2025. 2. 5 7:11:29,J,Malaysia,1,2,2,1,1,1,2,2,2,2,2,1,1,1,2,2,1,1,1,1,2,2,1,1,1,2,1,2,2,2,2,2,1,2,1,1,2,1,1,1,2,2,2,2,1,2,2,1,1,2,1,1,1,1,2
