timestamp,What is your name? (Full name not necessary),Where are you from?,Which is a better evaluation for q_num 1?,Which is a better evaluation for q_num 2?,Which is a better evaluation for q_num 3?,Which is a better evaluation for q_num 4?,Which is a better evaluation for q_num 5?,Which is a better evaluation for q_num 6?,Which is a better evaluation for q_num 7?,Which is a better evaluation for q_num 8?,Which is a better evaluation for q_num 9?,Which is a better evaluation for q_num 10?,Which is a better evaluation for q_num 11?,Which is a better evaluation for q_num 12?,Which is a better evaluation for q_num 13?,Which is a better evaluation for q_num 14?,Which is a better evaluation for q_num 15?,Which is a better evaluation for q_num 16?,Which is a better evaluation for q_num 17?,Which is a better evaluation for q_num 18?,Which is a better evaluation for q_num 19?,Which is a better evaluation for q_num 20?,Which is a better evaluation for q_num 21?,Which is a better evaluation for q_num 22?,Which is a better evaluation for q_num 23?,Which is a better evaluation for q_num 24?,Which is a better evaluation for q_num 25?,Which is a better evaluation for q_num 26?,Which is a better evaluation for q_num 27?,Which is a better evaluation for q_num 28?,Which is a better evaluation for q_num 29?,Which is a better evaluation for q_num 30?,Which is a better evaluation for q_num 31?,Which is a better evaluation for q_num 32?,Which is a better evaluation for q_num 33?,Which is a better evaluation for q_num 34?,Which is a better evaluation for q_num 35?,Which is a better evaluation for q_num 36?,Which is a better evaluation for q_num 37?,Which is a better evaluation for q_num 38?,Which is a better evaluation for q_num 39?,Which is a better evaluation for q_num 40?,Which is a better evaluation for q_num 41?,Which is a better evaluation for q_num 42?,Which is a better evaluation for q_num 43?,Which is a better evaluation for q_num 44?,Which is a better evaluation for q_num 45?,Which is a better evaluation for q_num 46?,Which is a better evaluation for q_num 47?,Which is a better evaluation for q_num 48?,Which is a better evaluation for q_num 49?,Which is a better evaluation for q_num 50?,Which is a better evaluation for q_num 51?,Which is a better evaluation for q_num 52?,Which is a better evaluation for q_num 53?,Which is a better evaluation for q_num 54?,Which is a better evaluation for q_num 55?,Which is a better evaluation for q_num 56?,Which is a better evaluation for q_num 57?,Which is a better evaluation for q_num 58?,Which is a better evaluation for q_num 59?,Which is a better evaluation for q_num 60?,Which is a better evaluation for q_num 61?,Which is a better evaluation for q_num 62?,Which is a better evaluation for q_num 63?,Which is a better evaluation for q_num 64?,Which is a better evaluation for q_num 65?,Which is a better evaluation for q_num 66?,Which is a better evaluation for q_num 67?,Which is a better evaluation for q_num 68?,Which is a better evaluation for q_num 69?,Which is a better evaluation for q_num 70?,Which is a better evaluation for q_num 71?,Which is a better evaluation for q_num 72?,Which is a better evaluation for q_num 73?,Which is a better evaluation for q_num 74?,Which is a better evaluation for q_num 75?,Which is a better evaluation for q_num 76?,Which is a better evaluation for q_num 77?,Which is a better evaluation for q_num 78?,Which is a better evaluation for q_num 79?,Which is a better evaluation for q_num 80?,Which is a better evaluation for q_num 81?,Which is a better evaluation for q_num 82?,Which is a better evaluation for q_num 83?,Which is a better evaluation for q_num 84?,Which is a better evaluation for q_num 85?,Which is a better evaluation for q_num 86?,Which is a better evaluation for q_num 87?,Which is a better evaluation for q_num 88?,Which is a better evaluation for q_num 89?,Which is a better evaluation for q_num 90?,Which is a better evaluation for q_num 91?,Which is a better evaluation for q_num 92?,Which is a better evaluation for q_num 93?,Which is a better evaluation for q_num 94?,Which is a better evaluation for q_num 95?,Which is a better evaluation for q_num 96?,Which is a better evaluation for q_num 97?,Which is a better evaluation for q_num 98?,Which is a better evaluation for q_num 99?,Which is a better evaluation for q_num 100?,Which is a better evaluation for q_num 101?,Which is a better evaluation for q_num 102?,Which is a better evaluation for q_num 103?,Which is a better evaluation for q_num 104?,Which is a better evaluation for q_num 105?,Which is a better evaluation for q_num 106?,Which is a better evaluation for q_num 107?,Which is a better evaluation for q_num 108?,Which is a better evaluation for q_num 109?,Which is a better evaluation for q_num 110?,Which is a better evaluation for q_num 111?,Which is a better evaluation for q_num 112?,Which is a better evaluation for q_num 113?,Which is a better evaluation for q_num 114?,Which is a better evaluation for q_num 115?,Which is a better evaluation for q_num 116?,Which is a better evaluation for q_num 117?,Which is a better evaluation for q_num 118?,Which is a better evaluation for q_num 119?,Which is a better evaluation for q_num 120?,Which is a better evaluation for q_num 121?,Which is a better evaluation for q_num 122?,Which is a better evaluation for q_num 123?,Which is a better evaluation for q_num 124?,Which is a better evaluation for q_num 125?,Which is a better evaluation for q_num 126?,Which is a better evaluation for q_num 127?,Which is a better evaluation for q_num 128?,Which is a better evaluation for q_num 129?,Which is a better evaluation for q_num 130?,Which is a better evaluation for q_num 131?,Which is a better evaluation for q_num 132?,Which is a better evaluation for q_num 133?,Which is a better evaluation for q_num 134?,Which is a better evaluation for q_num 135?,Which is a better evaluation for q_num 136?,Which is a better evaluation for q_num 137?,Which is a better evaluation for q_num 138?,Which is a better evaluation for q_num 139?,Which is a better evaluation for q_num 140?,Which is a better evaluation for q_num 141?,Which is a better evaluation for q_num 142?,Which is a better evaluation for q_num 143?,Which is a better evaluation for q_num 144?,Which is a better evaluation for q_num 145?,Which is a better evaluation for q_num 146?,Which is a better evaluation for q_num 147?,Which is a better evaluation for q_num 148?,Which is a better evaluation for q_num 149?,Which is a better evaluation for q_num 150?
2025. 1. 31 10:04:23,A,Kazakhstan,2,1,2,1,2,1,1,1,2,1,2,2,1,2,2,2,2,1,2,2,2,1,2,1,2,2,2,1,1,2,1,2,2,2,2,1,2,2,2,2,2,1,2,1,2,1,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,1,2,1,2,2,1,1,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,1,2,2,1,1,1,2,2,2,2,1,1,2,2,1,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,1,2,2,2,1,2,1,2,1,1,1,2,2,2,1,2,2,1
2025. 2. 1 7:12:31,B,Russia,2,1,2,1,1,1,1,1,1,2,2,2,1,2,2,2,1,2,1,1,2,2,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,2,2,1,1,1,2,1,1,1,2,2,1,1,1,1,1,2,1,2,2,1,1,2,1,1,1,1,1,2,1,2,1,1,2,1,1,1,2,1,1,1,1,2,1,2,1,2,1,2,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,2,1,1,1,2,2,1,2,1,1,2,2,2,2,1,1,1,1,2,2,1,1,1,2,2,2,2,1,1,1,1,2,1,1,1,1,1
2025. 2. 1 10:18:15,C,Myanmar,1,1,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,2,2,2,1,1,2,2,1,1,1,2,1,1,2,2,1,1,2,1,1,2,1,2,2,1,1,2,2,1,1,1,2,1,1,2,1,2,1,1,2,1,2,2,1,2,2,2,1,2,2,1,1,2,1,1,1,2,1,1,2,2,2,2,1,2,1,1,2,1,2,1,1,1,2,1,1,1,1,2,2,1,2,2,1,2,2,1,1,2,1,1,2,1,2,2,2,2,1,1,2,2,1,2,1,1,2,2,2,1,1,2,1,1,1,1,1,2,1,1,2,1,2,2
2025. 2. 2 12:22:54,D,South Korea,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,2,1,1,2,1,1,2,2,1,2,1,1,2,2,1,2,2,2,2,2,2,1,2,1,1,1,1,1,2,1,2,1,1,2,1,2,2,2,2,1,2,1,1,1,1,2,2,2,2,1,2,1,1,2,1,1,1,1,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,1,1,2,1,2,2,2,2,2,1,2,1,1,1,1,1,2,1,2,1,2,1,2,1,2,1,1,1,2,1,2,1,1,1,2,1,1,2,2,2,1
2025. 2. 2 6:45:54,E,India,1,2,1,2,1,1,2,1,1,2,1,2,1,2,2,1,1,2,2,2,1,2,2,1,1,1,2,2,1,2,1,2,1,2,2,2,2,1,2,1,1,1,2,1,1,2,2,1,1,2,2,1,2,2,1,2,1,1,1,2,1,1,2,2,1,2,1,1,2,2,2,1,2,1,2,1,2,1,1,2,2,1,1,1,2,1,2,1,1,2,1,2,1,2,2,1,1,2,1,2,1,2,2,1,1,2,1,2,1,2,2,1,1,1,1,2,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,2,1,2,1,2,1,2,1,1,2,1,2,1,2,2,1,1
2025. 2. 2 21:07:13,F,Uganda ,2,1,2,2,1,2,2,1,1,1,1,2,1,1,2,2,1,1,2,2,1,2,1,1,1,2,2,2,2,2,1,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,1,1,2,1,1,1,1,2,2,1,1,2,2,1,1,2,2,1,2,1,2,2,2,2,2,2,1,2,1,1,2,2,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,2,1,2,1,1,1,2,2,1,1,1,2,2,1,2,2,2,2,2,1,1,2,2,1,1,2,2,2,1,2,2,2,1,2,1,2,1,2,2,2,1,2,1,1,2,1,1,2
2025. 2. 3 0:44:39,G,Germany,2,1,2,1,2,1,1,2,1,1,1,2,1,1,1,1,2,2,1,2,2,2,1,2,2,2,2,1,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,1,2,1,2,1,2,2,2,1,1,1,2,2,1,1,1,2,1,2,2,2,1,1,2,1,1,2,1,2,2,2,1,2,1,1,2,1,2,1,1,2,1,2,1,1,1,2,2,1,1,2,1,2,1,1,2,1,2,1,1,1,2,2,1,2,2,2,1,1,1,2,2,2,1,1,2,1,2,2,2,1,1,2,1,2,2,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,1,2,1
2025. 2. 5 2:14:22,H,USA,2,1,1,1,2,2,2,1,2,1,1,1,2,1,1,1,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,1,2,1,2,1,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,2,2,2,2,2,1,1,2,2,1,2,1,2,1,1,2,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,2,1,1,2,1,1,2,2,2,1,2,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,2,1,1,2,1,2,2,2,2,2,1,1
2025. 2. 5 6:55:03,J,Malaysia,1,2,2,2,1,2,1,1,1,2,2,2,1,2,2,1,1,2,2,2,2,1,2,1,2,2,2,1,1,2,2,1,2,2,2,1,1,2,1,2,1,2,2,2,1,2,2,1,1,1,1,2,2,1,2,2,1,2,2,2,2,1,2,1,2,1,1,2,1,2,1,2,2,2,2,2,2,1,2,2,1,2,1,2,2,1,1,2,2,1,2,2,1,1,1,2,1,1,1,2,1,2,2,1,1,2,1,1,1,2,2,1,2,2,1,2,2,1,2,1,2,1,1,2,1,1,2,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,2,2,2,1,2,2
2025. 2. 5 8:12:43,K,South Korea,1,1,2,1,2,2,2,1,1,2,1,2,2,2,2,2,1,1,2,1,1,2,1,2,2,1,1,2,1,2,2,1,1,2,2,2,2,2,1,1,2,1,1,2,1,2,1,2,2,2,1,2,1,1,2,1,1,1,2,1,1,2,1,2,2,2,1,1,2,1,2,1,2,1,1,2,2,1,1,1,2,1,1,1,1,1,2,2,1,2,2,1,2,2,2,2,1,1,2,2,2,2,1,1,2,2,1,1,1,1,1,2,1,1,1,1,2,1,2,2,1,2,1,1,2,2,1,1,2,1,2,1,1,2,2,2,2,1,1,2,1,1,1,1,2,2,1,2,2,1
